"","8","",SCOTT,GROVE,BURWOOD,"3125"
"","1","",CHURCH,STREET,BURWOOD,"3125"
"","1","",HARRISON,AVENUE,BURWOOD,"3125"
"","26","",HALE,COURT,BURWOOD EAST,"3151"
"2","157","",HIGHFIELD,ROAD,CAMBERWELL,"3124"
"50","5","",GRAND,BOULEVARD,DONCASTER,"3108"
"","87","",JUNCTION,ROAD,NUNAWADING,"3131"
"","3","",ZANDER,AVENUE,NUNAWADING,"3131"
"","740","",HIGHBURY,ROAD,GLEN WAVERLEY,"3150"
"","15","",KELVAN,GROVE,DONCASTER EAST,"3109"
"","7","",SKENE,STREET,BURWOOD EAST,"3151"
"","3","",EFRON,STREET,NUNAWADING,"3131"
"","30","",OSBORNE,AVENUE,GLEN IRIS,"3146"
"","14","",BETULA,AVENUE,NUNAWADING,"3131"
"","22","",SCOTTSDALE,STREET,SURREY HILLS,"3127"
"2","34","",REDLAND,DRIVE,VERMONT,"3133"
"","15","",MYRIONG,STREET,CLAYTON,"3168"
"3","56","",PERCY,STREET,MITCHAM,"3132"
"","40","",GORDON,ROAD,MOUNT WAVERLEY,"3149"
"","19","",DOWER,STREET,CAMBERWELL,"3124"
"202","18","",BERKELEY,STREET,DONCASTER,"3108"
"","288","",WHITEHORSE,ROAD,BALWYN,"3103"
"","5","",TERRARA,COURT,VERMONT SOUTH,"3133"
"1","57","",STANLEY,AVENUE,MOUNT WAVERLEY,"3149"
"2","26","",ADRIAN,STREET,CHADSTONE,"3148"
